sector,description,amount_crore,amount_type,unit,fiscal_year_nepali,fiscal_year_english
Agriculture,High-value crop production,0,other,other,2083/84,2026/27
Agriculture,Agricultural service center,0,other,other,2083/84,2026/27
Agriculture,Digital agricultural information service,0,other,other,2083/84,2026/27
Forest,Forest-based industry,0,other,other,2083/84,2026/27
Forest,Wood processing industry,0,other,other,2083/84,2026/27
Industry,Export-oriented industry,0,other,other,2083/84,2026/27
Industry,One-stop service for industry,0,other,other,2083/84,2026/27
Industry,Development of industries,0,other,other,2083/84,2026/27
Industry,Capacity enhancement of production-based industries,0,other,other,2083/84,2026/27
Industry,Support to industries facing lack of raw materials,0,other,other,2083/84,2026/27
Industry,Promotion of start-ups and entrepreneurship,0,other,other,2083/84,2026/27
Education,Implementation of competency-based education system,0,other,other,2083/84,2026/27
Education,Teacher training and evaluation,0,other,other,2083/84,2026/27
Education,Introduction of AI-based education system,0,other,other,2083/84,2026/27
Education,Promotion of vocational education,0,other,other,2083/84,2026/27
Finance,Implementation of credit guarantee system,0,other,other,2083/84,2026/27
Finance,Interest rate subsidy to farmers and small entrepreneurs,0,other,other,2083/84,2026/27
Health,Health service expansion,0,target,other,2083/84,2026/27
Health,Digital health system,0,target,other,2083/84,2026/27
Health,Referral service expansion,0,target,other,2083/84,2026/27
Health,Essential medicine production,0,target,count,2083/84,2026/27
Health,Health insurance expansion,0,target,percent,2083/84,2026/27
Water,Clean water supply,0,target,percent,2083/84,2026/27
Water,Water supply management,0,other,other,2083/84,2026/27
Social Security,Social security allowance,0,other,other,2083/84,2026/27
Social Security,Child allowance,0,other,other,2083/84,2026/27
Education,International standard education,0,target,other,2083/84,2026/27
Health,Hospital development,0,target,other,2083/84,2026/27
Social Security,Social security system expansion,0,target,other,2083/84,2026/27
Roads,Upgrading 1000 km of roads,0,target,count,2083/84,2026/27
Roads,Upgrading 1028 km of East-West Highway to 4 lanes,0,target,count,2083/84,2026/27
Social Security,Providing social security to informal sector workers,0,other,other,2083/84,2026/27
Labor,Implementing labor agreement and minimum wage,0,other,other,2083/84,2026/27
Finance,Improving stock market and capital market,0,other,other,2083/84,2026/27
Industry,Encouraging foreign investment,0,other,other,2083/84,2026/27
Agriculture,Improving agricultural statistics,0,other,other,2083/84,2026/27
ICT,Improving IT infrastructure,0,other,other,2083/84,2026/27
Tourism,Promoting tourism,0,other,other,2083/84,2026/27
Defense,No specific allocation mentioned,0,other,other,2083/84,2026/27
Roads,Upgrading Kamala-Kanchanpur road,0,other,other,2083/84,2026/27
Roads,Upgrading Bagmati-Parliya road,0,other,other,2083/84,2026/27
Roads,Upgrading Narayani-Hetauda road,0,other,other,2083/84,2026/27
Roads,Upgrading Pokhali-Kanchanpur road,0,other,other,2083/84,2026/27
Roads,Upgrading Kolhapi-Gaddachauki road,0,other,other,2083/84,2026/27
Roads,Purbanchal highway,46,allocation,crore_npr,2083/84,2026/27
Roads,Kathmandu-Tarai fast track,0,other,other,2083/84,2026/27
Roads,Hulaki Rajmarg,65,allocation,crore_npr,2083/84,2026/27
Roads,Kanalthok-Lamjung-Ghiring road,1,allocation,crore_npr,2083/84,2026/27
Roads,Pushpalal mid-hill highway,2.16,allocation,crore_npr,2083/84,2026/27
Roads,Madan Bhandari highway,1.46,allocation,crore_npr,2083/84,2026/27
Roads,Myagdi highway,0,other,other,2083/84,2026/27
Roads,National highway,9.87,allocation,crore_npr,2083/84,2026/27
Roads,Parthivi Rajmarg,0,other,other,2083/84,2026/27
Roads,Nagdhunga-Abukhairen road,6.55,allocation,crore_npr,2083/84,2026/27
Roads,Kanalthali corridor,6.25,allocation,crore_npr,2083/84,2026/27
Roads,Galchhi-Syaphrubeshi-Rasuwagadhi road,1.35,allocation,crore_npr,2083/84,2026/27
Roads,Rasdhar Rajmarg,0,other,other,2083/84,2026/27
Roads,Mahakali corridor,0,other,other,2083/84,2026/27
Roads,Kathmandu valley road expansion,0,other,other,2083/84,2026/27
Roads,Tokha-Chhahare road,0,other,other,2083/84,2026/27
Roads,Kanalthali road,0,other,other,2083/84,2026/27
Roads,Jajarkot road,0,other,other,2083/84,2026/27
Roads,Kathmandu-Tarai expressway,46,allocation,crore_npr,2083/84,2026/27
Roads,Kathmandu valley road maintenance,28,allocation,crore_npr,2083/84,2026/27
Roads,Highway maintenance,3,allocation,crore_npr,2083/84,2026/27
Roads,Urban road development,1,allocation,crore_npr,2083/84,2026/27
Roads,Road network expansion,52,allocation,crore_npr,2083/84,2026/27
Roads,Pedestrian infrastructure,5,allocation,crore_npr,2083/84,2026/27
Roads,National highway maintenance,17,allocation,crore_npr,2083/84,2026/27
Roads,Road maintenance and repair,14,allocation,crore_npr,2083/84,2026/27
Tourism,Tourist infrastructure development,4,allocation,crore_npr,2083/84,2026/27
Industry,Industrial estate development,19,allocation,crore_npr,2083/84,2026/27
Water,Drinking water supply,2,allocation,crore_npr,2083/84,2026/27
Water,Water supply project,50,allocation,crore_npr,2083/84,2026/27
Water,Water supply system development,7,allocation,crore_npr,2083/84,2026/27
Water,Water treatment and supply,26,allocation,crore_npr,2083/84,2026/27
Water,Urban water supply,2,allocation,crore_npr,2083/84,2026/27
Water,Water supply and sanitation,34,allocation,crore_npr,2083/84,2026/27
Roads,Road development and maintenance,286,allocation,crore_npr,2083/84,2026/27
Roads,Road network expansion and maintenance,48,allocation,crore_npr,2083/84,2026/27
Water,Water supply and sanitation project,83,allocation,crore_npr,2083/84,2026/27
Energy,1040 MW hydropower project,0,target,count,2083/84,2026/27
Energy,5535 MW power transmission capacity,0,target,count,2083/84,2026/27
Energy,40 MW Koraha hydroelectric project,0,other,other,2083/84,2026/27
Energy,1061 MW Marsyangdi Arun hydroelectric project,0,other,other,2083/84,2026/27
Energy,828 MW Upper Arun hydroelectric project,0,other,other,2083/84,2026/27
Energy,210 MW Chaku Paru Seti hydroelectric project,0,other,other,2083/84,2026/27
Energy,99 MW Tamakoshi-5 hydroelectric project,0,other,other,2083/84,2026/27
Energy,417 MW Nalgad hydroelectric project,0,other,other,2083/84,2026/27
Energy,490 MW Arun-4 hydroelectric project,0,other,other,2083/84,2026/27
Energy,281 MW Naumure hydroelectric project,0,other,other,2083/84,2026/27
Energy,1220 MW Betan Koshi hydroelectric project,0,other,other,2083/84,2026/27
Energy,1270 MW Gandak hydroelectric project,0,other,other,2083/84,2026/27
Energy,670 MW hydroelectric project,0,target,count,2083/84,2026/27
Energy,Hetauda-Inaruwa 400 kV transmission line,0,other,other,2083/84,2026/27
Energy,Butwal-Gorakhpur cross-border transmission line,0,other,other,2083/84,2026/27
Energy,Green hydrogen production,0,other,other,2083/84,2026/27
Energy,2.5 MW green hydrogen plant,0,other,other,2083/84,2026/27
Energy,100 MW battery energy storage system,0,other,other,2083/84,2026/27
Irrigation,Irrigation system development,0,other,other,2083/84,2026/27
Irrigation,"15,000 hectares irrigation system",0,target,count,2083/84,2026/27
Energy,Power transmission line construction,85.54,allocation,crore_npr,2083/84,2026/27
Roads,Road construction,46,allocation,crore_npr,2083/84,2026/27
Irrigation,Babai Irrigation Project,63,allocation,crore_npr,2083/84,2026/27
Irrigation,Rajapara Irrigation Project,0,other,other,2083/84,2026/27
Irrigation,Sakta Irrigation Project,55,allocation,crore_npr,2083/84,2026/27
Irrigation,Sun Koshi-Morang Irrigation Project,98,allocation,crore_npr,2083/84,2026/27
Irrigation,Bagmati Irrigation Project,53,allocation,crore_npr,2083/84,2026/27
Irrigation,Mahakali Irrigation Project,13,allocation,crore_npr,2083/84,2026/27
Irrigation,Dang Valley Irrigation Project,21,allocation,crore_npr,2083/84,2026/27
Irrigation,Bheri Babai Irrigation Project,0,other,other,2083/84,2026/27
Irrigation,Narayani Irrigation Project,0,other,other,2083/84,2026/27
Irrigation,Banke Irrigation Project,0,other,other,2083/84,2026/27
Irrigation,Kamala Irrigation Project,0,other,other,2083/84,2026/27
Irrigation,Gandak Irrigation Project,0,other,other,2083/84,2026/27
Irrigation,Koshi Pump Irrigation Project,44,allocation,crore_npr,2083/84,2026/27
Irrigation,Saptakoshi Irrigation Project,83,allocation,crore_npr,2083/84,2026/27
Irrigation,Pahad Tar Irrigation Project,80,allocation,crore_npr,2083/84,2026/27
Irrigation,Pahad Katar Irrigation Project,0,other,other,2083/84,2026/27
Irrigation,Mahakali River Irrigation Project,0,other,other,2083/84,2026/27
ICT,Telecommunication Project,93,allocation,crore_npr,2083/84,2026/27
ICT,Advertisement in media,33,allocation,crore_npr,2083/84,2026/27
Sports,Floodlight installation in stadiums,0,other,other,2083/84,2026/27
Sports,Construction of stadiums,0,other,other,2083/84,2026/27
Sports,Budget allocation for sports,4.3,allocation,crore_npr,2083/84,2026/27
Education,School infrastructure development,1,allocation,crore_npr,2083/84,2026/27
Education,Teacher training and education,0,other,other,2083/84,2026/27
Education,Higher education development,8.6,allocation,crore_npr,2083/84,2026/27
Education,Music and art education,0,other,other,2083/84,2026/27
Education,International university collaboration,0,other,other,2083/84,2026/27
Education,International university campus establishment,0,other,other,2083/84,2026/27
Education,Education for working youth,0,other,other,2083/84,2026/27
Education,Student exchange program,0,other,other,2083/84,2026/27
Education,Residential school establishment,2.18,allocation,crore_npr,2083/84,2026/27
Education,Education for disadvantaged groups,30,allocation,crore_npr,2083/84,2026/27
Health,Primary healthcare services,101.95,allocation,crore_npr,2083/84,2026/27
Health,Health insurance,15,allocation,crore_npr,2083/84,2026/27
Health,Disease control and treatment,13.15,allocation,crore_npr,2083/84,2026/27
Health,Upgrading 336 hospitals,0,allocation,crore_npr,2083/84,2026/27
Health,Establishing national accreditation system,0,allocation,crore_npr,2083/84,2026/27
Health,Burn and plastic surgery services,0,allocation,crore_npr,2083/84,2026/27
Health,Establishing kidney dialysis center,0,allocation,crore_npr,2083/84,2026/27
Health,Malaria control program,0,allocation,crore_npr,2083/84,2026/27
Health,Establishing national public health laboratory,0,allocation,crore_npr,2083/84,2026/27
Health,Food and drug administration,0,allocation,crore_npr,2083/84,2026/27
Health,Real-time digital profile system,0,allocation,crore_npr,2083/84,2026/27
Health,Pharmacy services,0,allocation,crore_npr,2083/84,2026/27
Health,Upgrading national laboratory,0,allocation,crore_npr,2083/84,2026/27
Health,B.P. Koirala Memorial Cancer Hospital equipment,32,allocation,crore_npr,2083/84,2026/27
Health,Ayurveda health services,0,allocation,crore_npr,2083/84,2026/27
Health,Nursing staff double duty allowance,0,salary_change,crore_npr,2083/84,2026/27
Health,Transport allowance for health volunteers,0,salary_change,percent,2083/84,2026/27
Health,Increase in transport allowance for health volunteers,0,percentage,percent,2083/84,2026/27
Health,Emergency medical services,0,allocation,crore_npr,2083/84,2026/27
Health,High-altitude sickness treatment,0,allocation,crore_npr,2083/84,2026/27
Health,Pandemic control program,0,allocation,crore_npr,2083/84,2026/27
Health,Establishing cancer hospital,90,allocation,crore_npr,2083/84,2026/27
Health,Establishing children's hospital,0,allocation,crore_npr,2083/84,2026/27
Social Security,Support to injured in movement,0,other,other,2083/84,2026/27
Social Security,Respect to martyrs family,0,other,other,2083/84,2026/27
ICT,Digital structure and software,0,other,other,2083/84,2026/27
Social Security,Disability support,0,other,other,2083/84,2026/27
Education,Residential school for disabled,0,other,other,2083/84,2026/27
Health,Health protection,120,allocation,crore_npr,2083/84,2026/27
Social Security,Social security,0,other,other,2083/84,2026/27
Roads,Road support,0,other,other,2083/84,2026/27
Social Security,Support to orphans and elderly,0,other,other,2083/84,2026/27
Social Security,Women and child protection,0,other,other,2083/84,2026/27
Social Security,Minority support,0,other,other,2083/84,2026/27
Social Security,Entrepreneurship support,0,other,other,2083/84,2026/27
Education,Child education,31,allocation,crore_npr,2083/84,2026/27
Health,Health rescue,0,other,other,2083/84,2026/27
Social Security,Support to women and children,227,allocation,crore_npr,2083/84,2026/27
Agriculture,Agriculture development,3246,allocation,crore_npr,2083/84,2026/27
Agriculture,Agriculture modernization,27,allocation,crore_npr,2083/84,2026/27
Agriculture,Agriculture support,36,allocation,crore_npr,2083/84,2026/27
Agriculture,Krishi Bima Yojana,19,allocation,crore_npr,2083/84,2026/27
Agriculture,Crop storage and certification,0,other,other,2083/84,2026/27
Health,Animal disease control,24,allocation,crore_npr,2083/84,2026/27
Forest,Water source conservation,1,allocation,crore_npr,2083/84,2026/27
Forest,Herbal production,0,other,other,2083/84,2026/27
Forest,Greenhouse gas reduction,0,other,other,2083/84,2026/27
Forest,International water cooperation,0,other,other,2083/84,2026/27
Forest,Forest and environment conservation,12.31,allocation,crore_npr,2083/84,2026/27
Tourism,Ram Janaki road development,0,other,other,2083/84,2026/27
Tourism,Hill station development,0,other,other,2083/84,2026/27
Tourism,Mountain rescue service,0,other,other,2083/84,2026/27
Tourism,Buddhist site conservation,0,other,other,2083/84,2026/27
Tourism,World heritage site nomination,0,other,other,2083/84,2026/27
Tourism,Development of Great Himalayan Trail,0,other,other,2083/84,2026/27
Tourism,Development of Khaptad-Ramaroshan-Bardia-Shey Phoksundo-Rara-Swargadwari trekking route,0,other,other,2083/84,2026/27
Tourism,"Development of Api-Saipal, Dhaulagiri and Kanjirowa trekking routes",0,other,other,2083/84,2026/27
Tourism,Development of cycling trail in Gandaki Province,0,other,other,2083/84,2026/27
Culture,Expansion of Tharu Museum,0,other,other,2083/84,2026/27
Tourism,Naming of unnamed mountains,0,other,other,2083/84,2026/27
Aviation,Upgradation of international airport,53,allocation,crore_npr,2083/84,2026/27
Aviation,Operation of Gautam Buddha International Airport,0,other,other,2083/84,2026/27
Aviation,Expansion of Bhairahawa airport,0,other,other,2083/84,2026/27
Aviation,Upgradation of Maguwa airport in Dang,0,other,other,2083/84,2026/27
Aviation,Allocation for aviation sector,293,allocation,crore_npr,2083/84,2026/27
Labor,Implementation of Labor Employment Fund,0,other,other,2083/84,2026/27
Labor,Youth self-employment program,0,other,other,2083/84,2026/27
Labor,Revision of labor agreement,0,other,other,2083/84,2026/27
Labor,Repatriation of Nepali workers,0,other,other,2083/84,2026/27
Labor,Allocation for labor sector,3,allocation,crore_npr,2083/84,2026/27
Industry,Employment linked production zone,0,other,other,2083/84,2026/27
Industry,Legal reform for industry establishment,0,other,other,2083/84,2026/27
Industry,Clean energy technology plan,0,other,other,2083/84,2026/27
Industry,Electric boiler promotion,0,other,other,2083/84,2026/27
Industry,Bio mass boiler promotion for 100 industries,22,allocation,crore_npr,2083/84,2026/27
Industry,Industry development,65,allocation,crore_npr,2083/84,2026/27
Industry,Mining license review,0,other,other,2083/84,2026/27
Roads,Road design and construction,50,allocation,crore_npr,2083/84,2026/27
Industry,Mineral production and management,0,other,other,2083/84,2026/27
Industry,Petroleum production,0,other,other,2083/84,2026/27
Industry,Share reduction in Dailakh petro company,0,other,other,2083/84,2026/27
Industry,Environment friendly brick production,0,other,other,2083/84,2026/27
Trade,Export promotion,0,other,other,2083/84,2026/27
Trade,Trade and investment facilitation,0,other,other,2083/84,2026/27
Trade,National productivity enhancement program,118,allocation,crore_npr,2083/84,2026/27
Trade,One stop service for customs,0,other,other,2083/84,2026/27
Trade,Standardization of export products,0,other,other,2083/84,2026/27
Trade,Study on international contract,0,other,other,2083/84,2026/27
Energy,Petrol pump station development,0,other,other,2083/84,2026/27
Energy,Guarantee for Iran oil production,0,other,other,2083/84,2026/27
Trade,Control of black market and smuggling,0,other,other,2083/84,2026/27
Industry,Startup funding,50,allocation,crore_npr,2083/84,2026/27
Industry,Support to 1000 startups,0,target,count,2083/84,2026/27
ICT,National payment switch,0,other,other,2083/84,2026/27
ICT,Payment aggregator,0,other,other,2083/84,2026/27
Energy,Observatory center,0,other,other,2083/84,2026/27
Agriculture,Support to farmers,0,other,other,2083/84,2026/27
Tourism,Tourism promotion,0,other,other,2083/84,2026/27
Social Security,Non-resident Nepali citizenship,0,other,other,2083/84,2026/27
Defense,Border security,0,other,other,2083/84,2026/27
Water,Irrigation,0,other,other,2083/84,2026/27
Education,Science and technology,0,other,other,2083/84,2026/27
Health,Health services,0,other,other,2083/84,2026/27
Roads,Road infrastructure,0,other,other,2083/84,2026/27
Other,Youth entrepreneurship,0,other,other,2083/84,2026/27
Other,International relations,0,other,other,2083/84,2026/27
Other,Banking and finance,0,other,other,2083/84,2026/27
Social Security,Life insurance for Nepali citizens,0,other,other,2083/84,2026/27
Social Security,Insurance coverage up to 10 lakh,0,other,other,2083/84,2026/27
Social Security,Savings and loan business,0,other,other,2083/84,2026/27
Social Security,Problematic cooperatives,0,other,other,2083/84,2026/27
Social Security,Savings and loan management,0,other,other,2083/84,2026/27
Defense,Anti-corruption law,0,other,other,2083/84,2026/27
Health,Hospital equipment and infrastructure,0,other,other,2083/84,2026/27
ICT,Helpline and government-citizen interaction platform,0,other,other,2083/84,2026/27
ICT,Digital time management system,0,other,other,2083/84,2026/27
Social Security,National identity card,0,other,other,2083/84,2026/27
Social Security,Public service delivery system,0,other,other,2083/84,2026/27
Social Security,Pension for government employees,0,salary_change,percent,2083/84,2026/27
Social Security,Salary increase for government employees,0,salary_change,percent,2083/84,2026/27
Social Security,Cost of living allowance,0,salary_change,percent,2083/84,2026/27
